startdate,sampno,Analytical Analysis Code,Analysis Name,Testing Result,Lot Number,Group Major,Pin,Stockroom,Composite Number,Pallet Number,Bag Count on Pallet
32:00.0,BJ51452,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C002,10,361-400
32:00.0,BJ51453,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C003,11,401-440
32:00.0,BJ51454,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C003,12,441-480
32:00.0,BJ51455,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C003,13,481-520
32:00.0,BJ51456,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C003,14,521-560
32:00.0,BJ51457,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C003,15,561-600
32:00.0,BJ51458,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C004,16,601-640
32:00.0,BJ51459,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C004,17,641-680
32:00.0,BJ51460,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C004,18,681-720
32:00.0,BJ51461,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C004,19,721-760
32:00.0,BJ51462,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C004,20,761-800
32:00.0,BJ51463,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C005,21,801-840
32:00.0,BJ51464,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C005,22,841-880
32:00.0,BJ51465,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C005,23,881-920
32:00.0,BJ51466,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C005,24,921-960
32:00.0,BJ51467,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C005,25,961-1000
32:00.0,BJ51468,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C006,26,1001-1040
32:00.0,BJ51469,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C006,27,1041-1080
32:00.0,BJ51470,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C006,28,1081-1120
32:00.0,BJ51471,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C006,29,1121-1160
32:00.0,BJ51472,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C006,30,1161-1200
55:11.0,BJ52357,CADMIUM_ICP_MS,Cadmium (ppm),<0.010,FL24125L1,,1005059,FL,,,
55:11.0,BJ52357,MERCURY_ICP_MS,Mercury,<0.010,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,AFLATOXIN_GB,Aflatoxin M1,<0.01,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,ARSENIC_GB,Arsenic,<0.010,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,CHLORATE,Chlorate,239,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,DBP,DBP,<0.3,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,DEHP,DEHP,<0.3,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,DINP,DINP,<0.3,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,IRON_SATURATION,Iron Saturation,5.04,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,MELAMINE_GB_METHOD,Melamine,<0.25,FL24125L1,,1005059,FL,,,
39:00.0,BJ52357,PERCHLORATE,Perchlorate,<4.00,FL24125L1,,1005059,FL,,,
45:59.0,BJ55545,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C001,1,Jan-40
45:59.0,BJ55546,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C001,2,41-80
45:59.0,BJ55547,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C001,3,81-120
10:14.0,BJ55547,MOISTURE,Moisture,4.716,FL24127A1,,100245-CS055,FL,C001,3,81-120
18:29.0,BJ55547,PROT_DB_LECO,Dry Basis LECO Protein,91.077,FL24127A1,,100245-CS055,FL,C001,3,81-120
45:59.0,BJ55548,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C001,4,121-160
45:59.0,BJ55549,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C001,5,161-200
45:59.0,BJ55550,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C002,6,201-240
45:59.0,BJ55551,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C002,7,241-280
45:59.0,BJ55552,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C002,8,281-320
45:59.0,BJ55553,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C002,9,321-360
45:59.0,BJ55554,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C002,10,361-400
45:59.0,BJ55555,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C003,11,401-440
58:47.0,BJ55555,MOISTURE,Moisture,6.399,FL24127A1,,100245-CS055,FL,C003,11,401-440
24:50.0,BJ55555,PROT_DB_LECO,Dry Basis LECO Protein,90.089,FL24127A1,,100245-CS055,FL,C003,11,401-440
45:59.0,BJ55556,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C003,12,441-480
45:59.0,BJ55557,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C003,13,481-520
45:59.0,BJ55558,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C003,14,521-560
45:59.0,BJ55559,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C003,15,561-600
45:59.0,BJ55560,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C004,16,601-640
45:59.0,BJ55561,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C004,17,641-680
45:59.0,BJ55562,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C004,18,681-720
45:59.0,BJ55563,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C004,19,721-760
45:59.0,BJ55564,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C004,20,761-800
45:59.0,BJ55565,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C005,21,801-840
45:59.0,BJ55566,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C005,22,841-880
45:59.0,BJ55567,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C005,23,881-920
45:59.0,BJ55568,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C005,24,921-960
45:59.0,BJ55569,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C005,25,961-1000
45:59.0,BJ55570,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C006,26,1001-1040
45:59.0,BJ55571,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C006,27,1041-1080
45:59.0,BJ55572,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C006,28,1081-1120
45:59.0,BJ55573,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C006,29,1121-1160
45:59.0,BJ55574,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C006,30,1161-1200
45:59.0,BJ55575,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C007,31,1201-1240
45:59.0,BJ55576,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C007,32,1241-1280
45:59.0,BJ55577,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C007,33,1281-1320
45:59.0,BJ55578,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C007,34,1321-1360
45:59.0,BJ55579,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C007,35,1361-1400
45:59.0,BJ55580,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C008,36,1401-1440
45:59.0,BJ55581,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C008,37,1441-1480
45:59.0,BJ55582,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C008,38,1481-1520
45:59.0,BJ55583,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C008,39,1521-1560
45:59.0,BJ55584,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C008,40,1561-1600
45:59.0,BJ55585,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C009,41,1601-1640
45:59.0,BJ55586,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C009,42,1641-1680
45:59.0,BJ55587,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C009,43,1681-1720
45:59.0,BJ55588,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C009,44,1721-1760
45:59.0,BJ55589,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C009,45,1761-1800
45:59.0,BJ55590,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C010,46,1801-1840
45:59.0,BJ55591,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C010,47,1841-1880
45:59.0,BJ55592,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C010,48,1881-1920
45:59.0,BJ55593,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C010,49,1921-1960
45:59.0,BJ55594,CHOLESTEROL,Cholesterol,57,FL24127A1,,100245-CS055,FL,C010,50,1961-2000
45:59.0,BJ55985,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C011,51,2001-2040
45:59.0,BJ55986,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C011,52,2041-2080
45:59.0,BJ55987,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C011,53,2081-2120
45:59.0,BJ55988,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C011,54,2121-2160
45:59.0,BJ55989,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C011,55,2161-2200
45:59.0,BJ55990,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C012,56,2201-2240
45:59.0,BJ55991,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C012,57,2241-2280
45:59.0,BJ55992,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C012,58,2281-2320
45:59.0,BJ55993,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C012,59,2321-2360
45:59.0,BJ55994,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C012,60,2361-2400
45:59.0,BJ55995,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C013,61,2401-2440
45:59.0,BJ55996,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C013,62,2441-2480
45:59.0,BJ55997,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C013,63,2481-2520
45:59.0,BJ55998,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C013,64,2521-2560
45:59.0,BJ55999,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C013,65,2561-2600
45:59.0,BJ56000,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,66,2601-2640
45:59.0,BJ56001,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,67,2641-2680
45:59.0,BJ56002,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,68,2681-2720
45:59.0,BJ56003,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,69,2721-2760
45:59.0,BJ56004,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,70,2761-2800
45:59.0,BJ56005,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,71,2801-2840
45:59.0,BJ56006,CHOLESTEROL,Cholesterol,60,FL24127A1,,100245-CS055,FL,C014,72,2841-2880
35:27.0,BJ56476,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C001,1,Jan-40
35:27.0,BJ56477,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C001,2,41-80
35:27.0,BJ56478,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C001,3,81-120
35:27.0,BJ56479,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C001,4,121-160
35:27.0,BJ56480,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C001,5,161-200
35:27.0,BJ56481,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C002,6,201-240
35:27.0,BJ56482,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C002,7,241-280
35:27.0,BJ56483,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C002,8,281-320
35:27.0,BJ56484,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C002,9,321-360
35:27.0,BJ56485,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C002,10,361-400
35:27.0,BJ56486,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C003,11,401-440
35:27.0,BJ56487,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C003,12,441-480
35:27.0,BJ56488,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C003,13,481-520
35:27.0,BJ56489,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C003,14,521-560
35:27.0,BJ56490,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C003,15,561-600
35:27.0,BJ56491,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C004,16,601-640
35:27.0,BJ56492,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C004,17,641-680
35:27.0,BJ56493,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C004,18,681-720
35:27.0,BJ56494,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C004,19,721-760
35:27.0,BJ56495,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C004,20,761-800
35:27.0,BJ56496,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C005,21,801-840
35:27.0,BJ56497,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C005,22,841-880
35:27.0,BJ56498,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C005,23,881-920
35:27.0,BJ56499,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C005,24,921-960
35:27.0,BJ56500,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C005,25,961-1000
35:27.0,BJ56501,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C006,26,1001-1040
35:27.0,BJ56502,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C006,27,1041-1080
35:27.0,BJ56503,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C006,28,1081-1120
35:27.0,BJ56504,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C006,29,1121-1160
35:27.0,BJ56505,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C006,30,1161-1200
35:27.0,BJ56506,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C007,31,1201-1240
35:27.0,BJ56507,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C007,32,1241-1280
35:27.0,BJ56508,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C007,33,1281-1320
35:27.0,BJ56509,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C007,34,1321-1360
35:27.0,BJ56510,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C007,35,1361-1400
35:27.0,BJ56511,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C008,36,1401-1440
35:27.0,BJ56512,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C008,37,1441-1480
35:27.0,BJ56513,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C008,38,1481-1520
35:27.0,BJ56514,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C008,39,1521-1560
35:27.0,BJ56515,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C008,40,1561-1600
35:27.0,BJ56516,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C009,41,1601-1640
35:27.0,BJ56517,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C009,42,1641-1680
35:27.0,BJ56518,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C009,43,1681-1720
35:27.0,BJ56519,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C009,44,1721-1760
35:27.0,BJ56520,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C009,45,1761-1800
35:27.0,BJ56521,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C010,46,1801-1840
35:27.0,BJ56522,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C010,47,1841-1880
35:27.0,BJ56523,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C010,48,1881-1920
35:27.0,BJ56524,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C010,49,1921-1960
35:27.0,BJ56525,CHOLESTEROL,Cholesterol,63.09,FL24128A1,,100245-CS055,FL,C010,50,1961-2000
36:03.0,BJ56863,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C011,51,2001-2040
36:03.0,BJ56864,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C011,52,2041-2080
36:03.0,BJ56865,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C011,53,2081-2120
36:03.0,BJ56866,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C011,54,2121-2160
36:03.0,BJ56867,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C011,55,2161-2200
36:03.0,BJ56868,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C012,56,2201-2240
36:03.0,BJ56869,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C012,57,2241-2280
36:03.0,BJ56870,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C012,58,2281-2320
36:03.0,BJ56871,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C012,59,2321-2360
36:03.0,BJ56872,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C012,60,2361-2400
36:03.0,BJ56873,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C013,61,2401-2440
36:03.0,BJ56874,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C013,62,2441-2480
36:03.0,BJ56875,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C013,63,2481-2520
36:03.0,BJ56876,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C013,64,2521-2560
36:03.0,BJ56877,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C013,65,2561-2600
36:03.0,BJ56878,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C014,66,2601-2640
36:03.0,BJ56879,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C014,67,2641-2680
36:03.0,BJ56880,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C014,68,2681-2720
36:03.0,BJ56881,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C014,69,2721-2760
36:03.0,BJ56882,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C014,70,2761-2800
36:03.0,BJ56883,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C015,71,2801-2840
36:03.0,BJ56884,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C015,72,2841-2880
36:03.0,BJ56885,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C015,73,2881-2920
36:03.0,BJ56886,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C015,74,2921-2960
36:03.0,BJ56887,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C015,75,2961-3000
36:03.0,BJ56888,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C016,76,3001-3040
36:03.0,BJ56889,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C016,77,3041-3080
36:03.0,BJ56890,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C016,78,3081-3120
36:03.0,BJ56891,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C016,79,3121-3160
36:03.0,BJ56892,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C016,80,3161-3200
36:03.0,BJ56893,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C017,81,3201-3240
36:03.0,BJ56894,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C017,82,3241-3280
36:03.0,BJ56895,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C017,83,3281-3320
36:03.0,BJ56896,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C017,84,3321-3360
36:03.0,BJ56897,CHOLESTEROL,Cholesterol,34.27,FL24128A1,,100245-CS055,FL,C017,85,3361-3400
55:11.0,BJ57230,APC_GB,Aerobic Plate Count,<10,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,B_CEREUS,Bacillus cereus,<10,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,B_CEREUS_GB,Bacillus cereus,<10,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,E_SAK_GB,E. sakazakii,Negative,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,LACTOFERRIN_GB,Lactoferrin of Total Protein,98.9969,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,LEAD_GB,Lead (ppm),<0.010,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,LISTERIA_GB,Listeria,Negative,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,MOLD_GB_METHOD,Mold,<10,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,STAPH_GB,Staphylococcus aureus,Negative,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,STAPH_GB_MI,Staphylococcus aureus,Negative,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,Y&M_COMB_GB_METHOD,Yeast and Mold Combined,<10,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,YEAST,Yeast,<10,FL24129L1,,1005059,FL,,,
55:11.0,BJ57230,YEAST_GB_METHOD,Yeast,<10,FL24129L1,,1005059,FL,,,
39:00.0,BJ57230,ARSENIC_GB,Arsenic,<0.010,FL24129L1,,1005059,FL,,,
